    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
       14525.13454,      0.0368524717,      0.7778198697,                 0,                 0,                 0,      0.1410371126,   -0.001051939346,      0.7786916898,                 0,       21.10631482,    0.001938269982
       14525.13454,     0.03707973664,      0.7790588893,                 0,                 0,                 0,      0.1395378882,  -0.0008852536189,      0.7799403029,                 0,       21.01036738,    0.001938269982
       14525.13454,     0.03729884918,      0.7802289548,                 0,                 0,                 0,       0.138080826,  -0.0007233542702,      0.7811196469,                 0,       20.91831174,    0.001938269982
       14525.13454,     0.03751029312,      0.7813603762,                 0,                 0,                 0,      0.1366744638,  -0.0005672334033,      0.7822600193,                 0,       20.83055906,    0.001938269982
       14525.13454,     0.03771543604,      0.7824628054,                 0,                 0,                 0,      0.1353222637,  -0.0004159948753,      0.7833711272,                 0,       20.74648705,    0.001938269982
       14525.13454,     0.03791116339,       0.783519935,                 0,                 0,                 0,       0.134015749,    -0.00027195579,      0.7844365308,                 0,        20.6672617,    0.001938269982
       14525.13454,     0.03810132188,       0.784557051,                 0,                 0,                 0,       0.132763173,   -0.000132504784,      0.7854816736,                 0,       20.59133416,    0.001938269982
       14525.13454,     0.03828566371,      0.7855766296,                 0,                 0,                 0,        0.13156167,   1.990089432e-06,      0.7865090165,                 0,       20.51881967,    0.001938269982
       14525.13454,     0.03846699092,      0.7865987216,                 0,                 0,                 0,       0.130416465,   0.0001333515837,      0.7875387231,                 0,       20.44866788,    0.001938269982
       14525.13454,      0.0386488687,      0.7876464551,                 0,                 0,                 0,      0.1293345797,   0.0002640148796,      0.7885940676,                 0,       20.37954749,    0.001938269982
       14525.13454,     0.03882689802,      0.7886921291,                 0,                 0,                 0,      0.1283017263,   0.0003909345239,      0.7896471679,                 0,       20.31303476,    0.001938269982
       14525.13454,     0.03899545326,      0.7897083458,                 0,                 0,                 0,      0.1273028417,   0.0005098251627,      0.7906703845,                 0,        20.2512929,    0.001938269982
       14525.13454,     0.03915034493,      0.7906646467,                 0,                 0,                 0,        0.12632332,    0.000617984866,      0.7916330912,                 0,       20.19559848,    0.001938269982
       14525.13454,     0.03929751244,      0.7915934771,                 0,                 0,                 0,      0.1253742083,   0.0007197666956,      0.7925679841,                 0,       20.14360269,    0.001938269982
       14525.13454,     0.03943871854,        0.79250475,                 0,                 0,                 0,      0.1244563731,   0.0008164488092,      0.7934850501,                 0,       20.09458672,    0.001938269982
       14525.13454,     0.03957389104,      0.7933964387,                 0,                 0,                 0,      0.1235666617,   0.0009080577391,      0.7943822614,                 0,       20.04848191,    0.001938269982
       14525.13454,     0.03970304588,      0.7942665311,                 0,                 0,                 0,      0.1227027822,   0.0009947073467,      0.7952576091,                 0,       20.00517878,    0.001938269982
       14525.13454,     0.03982584578,      0.7951117791,                 0,                 0,                 0,      0.1218625119,    0.001076218864,      0.7961078325,                 0,       19.96471797,    0.001938269982
       14525.13454,     0.03994214896,      0.7959311343,                 0,                 0,                 0,      0.1210448125,    0.001152501708,      0.7969318776,                 0,       19.92709844,    0.001938269982
       14525.13454,     0.04004902149,      0.7967076407,                 0,                 0,                 0,      0.1202424954,    0.001221450758,      0.7977126656,                 0,       19.89331102,    0.001938269982
       14525.13454,     0.04014455065,      0.7974367427,                 0,                 0,                 0,      0.1194535367,    0.001281377322,      0.7984455533,                 0,       19.86413423,    0.001938269982
       14525.13454,     0.04022886957,      0.7981223527,                 0,                 0,                 0,      0.1186810123,     0.00133222392,      0.7991344549,                 0,       19.83954213,    0.001938269982
